id,name,club,joined,year
80,Tom Starke,27,1341093600,2014
532,Claudio Pizarro,27,1341093600,2014
2219,Philipp Lahm,27,1025474400,2014
2514,Bastian Schweinsteiger,27,1025474400,2014
4360,Arjen Robben,27,1251410400,2014
7476,Xabi Alonso,27,1409263200,2014
7825,Pepe Reina,27,1407448800,2014
16136,Dante,27,1341093600,2014
17259,Manuel Neuer,27,1309471200,2014
22068,Franck Ribéry,27,1183240800,2014
26485,Jérôme Boateng,27,1310594400,2014
33947,Rafinha,27,1309471200,2014
38253,Robert Lewandowski,27,1404165600,2014
44017,Javi Martínez,27,1346191200,2014
44466,Sebastian Rode,27,1404165600,2014
45124,Medhi Benatia,27,1409090400,2014
54659,Holger Badstuber,27,1246399200,2014
58358,Thomas Müller,27,1246399200,2014
59016,David Alaba,27,1277935200,2014
60444,Thiago,27,1373752800,2014
74842,Mario Götze,27,1372629600,2014
94768,Rico Strieder,27,False,2014
119211,Mitchell Weiser,27,1341093600,2014
126719,Juan Bernat,27,1404684000,2014
170530,Sinan Kurt,27,1409436000,2014
195051,Gianluca Gaudino,27,1404165600,2014
86792,Xherdan Shaqiri,27,1341093600,2014
160971,Leopold Zingerle,27,False,2014
161204,Julian Green,27,1388530800,2014
164145,Ivan Lucic,27,1404165600,2014
167799,Pierre-Emile Højbjerg,27,1372629600,2014
179638,Lukas Görtler,27,False,2014
195064,Lucas Scholl,27,False,2014
26,Roman Weidenfeller,16,1025474400,2014
410,Sebastian Kehl,16,1010271600,2014
2150,Oliver Kirch,16,1341093600,2014
25727,Lukasz Piszczek,16,1277935200,2014
29835,Jakub Blaszczykowski,16,1183240800,2014
29993,Sven Bender,16,1246399200,2014
31095,Nuri Şahin,16,1404165600,2014
34322,Sokratis Papastathopoulos,16,1372629600,2014
35207,Marco Reus,16,1341093600,2014
35208,Marcel Schmelzer,16,1214863200,2014
39728,Mats Hummels,16,1246399200,2014
40995,Neven Subotic,16,1214863200,2014
44521,Kevin Großkreutz,16,1246399200,2014
47594,Zlatan Alomerovic,16,1341093600,2014
49347,Mitchell Langerak,16,1277935200,2014
53418,Kevin Kampl,16,1420066800,2014
53622,İlkay Gündoğan,16,1309471200,2014
55735,Henrikh Mkhitaryan,16,1373320800,2014
58864,Pierre-Emerick Aubameyang,16,1372888800,2014
73782,Adrián Ramos,16,1404165600,2014
81785,Shinji Kagawa,16,1409436000,2014
93922,Erik Durm,16,1377640800,2014
