id,name,club,year
17259,Manuel Neuer,27,2020
26485,Jérôme Boateng,27,2020
38253,Robert Lewandowski,27,2020
44017,Javi Martínez,27,2020
45660,Eric Maxim Choupo-Moting,27,2020
58358,Thomas Müller,27,2020
59016,David Alaba,27,2020
153084,Leon Goretzka,27,2020
159471,Serge Gnabry,27,2020
161056,Joshua Kimmich,27,2020
166601,Niklas Süle,27,2020
190393,Corentin Tolisso,27,2020
190685,Bouna Sarr,27,2020
192565,Leroy Sané,27,2020
195778,Alexander Nübel,27,2020
243714,Kingsley Coman,27,2020
281963,Lucas Hernández,27,2020
317444,Ron-Thorben Hoffmann,27,2020
336869,Marc Roca,27,2020
353366,Benjamin Pavard,27,2020
424204,Alphonso Davies,27,2020
429987,Tiago Dantas,27,2020
503162,Christopher Scott,27,2020
538996,Tanguy Nianzou,27,2020
580195,Jamal Musiala,27,2020
40680,Sven Ulreich,27,2020
75615,Douglas Costa,27,2020
212718,Dimitri Oberlin,27,2020
335455,Kilian Senkbeil,27,2020
336324,Daniels Ontuzans,27,2020
343337,Fiete Arp,27,2020
344600,Michaël Cuisance,27,2020
379979,Adrian Fein,27,2020
380423,Maximilian Zaiser,27,2020
422211,Alexander Lungwitz,27,2020
435648,Joshua Zirkzee,27,2020
443710,Angelo Stiller,27,2020
453874,Lukas Schneller,27,2020
467437,Malik Tillman,27,2020
483046,Josip Stanisic,27,2020
483974,Leon Dajaku,27,2020
569033,Armindo Sieb,27,2020
578539,Chris Richards,27,2020
580193,Bright Arrey-Mbi,27,2020
805835,Rémy Vita,27,2020
25727,Lukasz Piszczek,16,2020
35047,Axel Witsel,16,2020
35207,Marco Reus,16,2020
35208,Marcel Schmelzer,16,2020
39728,Mats Hummels,16,2020
59027,Roman Bürki,16,2020
59238,Marwin Hitz,16,2020
85867,Nico Schulz,16,2020
91849,Thomas Delaney,16,2020
100986,Thomas Meunier,16,2020
102226,Thorgan Hazard,16,2020
119296,Emre Can,16,2020
170986,Raphaël Guerreiro,16,2020
187492,Julian Brandt,16,2020
191422,Mahmoud Dahoud,16,2020
274461,Felix Passlack,16,2020
284730,Manuel Akanji,16,2020
296879,Steffen Tigges,16,2020
344598,Dan-Axel Zagadou,16,2020
384745,Tobias Raschl,16,2020
388067,Stefan Drljaca,16,2020
388513,Mateu Morey,16,2020
388815,Luca Unbehaun,16,2020
401173,Jadon Sancho,16,2020
418560,Erling Haaland,16,2020
429874,Ansgar Knauff,16,2020
467720,Youssoufa Moukoko,16,2020
504215,Giovanni Reyna,16,2020
581678,Jude Bellingham,16,2020
627226,Reinier,16,2020
193900,Marius Wolf,16,2020
333451,Dominik Wanner,16,2020
21726,Philipp Tschauner,23826,2020
53418,Kevin Kampl,23826,2020
57071,Péter Gulácsi,23826,2020
70243,Marcel Halstenberg,23826,2020
93740,Willi Orbán,23826,2020
106987,Marcel Sabitzer,23826,2020
111078,Emil Forsberg,23826,2020
157635,Yussuf Poulsen,23826,2020
202591,Benjamin Henrichs,23826,2020
215599,Lukas Klostermann,23826,2020
223967,Konrad Laimer,23826,2020
238407,Alexander Sørloth,23826,2020
277179,Angeliño,23826,2020
292246,Hee-chan Hwang,23826,2020
293385,Dani Olmo,23826,2020
330659,Justin Kluivert,23826,2020
332705,Tyler Adams,23826,2020
